id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,7325,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,4906,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,4290,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,8349,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,8374,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3902,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,5072,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2277,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,10818,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,4677,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,4236,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,6779,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,4906,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3676,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,5724,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,2176,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2524,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,786,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,3648,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,1396,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,8585,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,2048,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,2857,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,1723,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,1389,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1737,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,573,ORANG,2019
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,3696,ORANG,2020
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,5035,ORANG,2020
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,4261,ORANG,2020
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,5905,ORANG,2020
32,32,JAWA BARAT,3205,KABUPATEN GARUT,5583,ORANG,2020
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1814,ORANG,2020
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,3114,ORANG,2020
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1569,ORANG,2020
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,5773,ORANG,2020
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2670,ORANG,2020
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2983,ORANG,2020
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,4766,ORANG,2020
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,3218,ORANG,2020
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3576,ORANG,2020
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,5024,ORANG,2020
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,1445,ORANG,2020
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2440,ORANG,2020
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,227,ORANG,2020
46,32,JAWA BARAT,3271,KOTA BOGOR,1841,ORANG,2020
47,32,JAWA BARAT,3272,KOTA SUKABUMI,1071,ORANG,2020
48,32,JAWA BARAT,3273,KOTA BANDUNG,3274,ORANG,2020
49,32,JAWA BARAT,3274,KOTA CIREBON,1555,ORANG,2020
50,32,JAWA BARAT,3275,KOTA BEKASI,1544,ORANG,2020
51,32,JAWA BARAT,3276,KOTA DEPOK,838,ORANG,2020
52,32,JAWA BARAT,3277,KOTA CIMAHI,1329,ORANG,2020
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1150,ORANG,2020
54,32,JAWA BARAT,3279,KOTA BANJAR,502,ORANG,2020
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,3152,ORANG,2021
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3064,ORANG,2021
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,4908,ORANG,2021
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,4173,ORANG,2021
59,32,JAWA BARAT,3205,KABUPATEN GARUT,5583,ORANG,2021
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2230,ORANG,2021
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,5254,ORANG,2021
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1663,ORANG,2021
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,5584,ORANG,2021
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2354,ORANG,2021
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2507,ORANG,2021
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,4557,ORANG,2021
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,2978,ORANG,2021
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3694,ORANG,2021
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,5024,ORANG,2021
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,1445,ORANG,2021
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2440,ORANG,2021
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,197,ORANG,2021
73,32,JAWA BARAT,3271,KOTA BOGOR,973,ORANG,2021
74,32,JAWA BARAT,3272,KOTA SUKABUMI,2718,ORANG,2021
75,32,JAWA BARAT,3273,KOTA BANDUNG,2288,ORANG,2021
76,32,JAWA BARAT,3274,KOTA CIREBON,1250,ORANG,2021
77,32,JAWA BARAT,3275,KOTA BEKASI,1130,ORANG,2021
78,32,JAWA BARAT,3276,KOTA DEPOK,826,ORANG,2021
79,32,JAWA BARAT,3277,KOTA CIMAHI,778,ORANG,2021
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1024,ORANG,2021
81,32,JAWA BARAT,3279,KOTA BANJAR,249,ORANG,2021
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,11779,ORANG,2022
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,4608,ORANG,2022
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,6330,ORANG,2022
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,6503,ORANG,2022
86,32,JAWA BARAT,3205,KABUPATEN GARUT,4624,ORANG,2022
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1905,ORANG,2022
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,5848,ORANG,2022
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1813,ORANG,2022
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,6941,ORANG,2022
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3863,ORANG,2022
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,6679,ORANG,2022
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,5192,ORANG,2022
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,4141,ORANG,2022
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,4268,ORANG,2022
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,4046,ORANG,2022
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,2170,ORANG,2022
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1863,ORANG,2022
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,160,ORANG,2022
100,32,JAWA BARAT,3271,KOTA BOGOR,1662,ORANG,2022
101,32,JAWA BARAT,3272,KOTA SUKABUMI,1072,ORANG,2022
102,32,JAWA BARAT,3273,KOTA BANDUNG,5255,ORANG,2022
103,32,JAWA BARAT,3274,KOTA CIREBON,2812,ORANG,2022
104,32,JAWA BARAT,3275,KOTA BEKASI,1547,ORANG,2022
105,32,JAWA BARAT,3276,KOTA DEPOK,3936,ORANG,2022
106,32,JAWA BARAT,3277,KOTA CIMAHI,1062,ORANG,2022
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1367,ORANG,2022
108,32,JAWA BARAT,3279,KOTA BANJAR,521,ORANG,2022
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,4403,ORANG,2023
